Rede Globo	<http://dbpedia.org/resource/Rede_Globo>
Telemundo	<http://dbpedia.org/resource/Telemundo>
Inmigrante TV	<http://dbpedia.org/resource/Inmigrante_TV>
Repretel	<http://dbpedia.org/resource/Repretel>
GMA Network	<http://dbpedia.org/resource/GMA_Network>
NTR	<http://dbpedia.org/resource/Omroep_NTR>
Overmyer Network	<http://dbpedia.org/resource/Overmyer_Network>
United Network	<http://dbpedia.org/resource/Overmyer_Network>
PTL Satellite Network	<http://dbpedia.org/resource/PTL_Satellite_Network>
Pakistan Broadcasting Corporation	<http://dbpedia.org/resource/Pakistan_Broadcasting_Corporation>
Radio Luxembourg	<http://dbpedia.org/resource/Radio_Luxembourg_(English)>
Radio Niederösterreich	<http://dbpedia.org/resource/Radio_Nieder%C3%B6sterreich>
Radio Slovakia International	<http://dbpedia.org/resource/Radio_Slovakia_International>
Radio Ukraine International	<http://dbpedia.org/resource/Radio_Ukraine_International>
Televisão de Moçambique	<http://dbpedia.org/resource/Televis%C3%A3o_de_Mo%C3%A7ambique>
Tri-State Christian Television	<http://dbpedia.org/resource/Tri-State_Christian_Television>
Univision	<http://dbpedia.org/resource/Univision>
Z Channel	<http://dbpedia.org/resource/Z_Channel>
Voice of Mongolia	<http://dbpedia.org/resource/Voice_of_Mongolia>
Aswat al-Iraq	<http://dbpedia.org/resource/Aswat_al-Iraq>
BBC World Service	<http://dbpedia.org/resource/BBC_World_Service>
DuMont Television Network	<http://dbpedia.org/resource/DuMont_Television_Network>
Hughes Television Network	<http://dbpedia.org/resource/Hughes_Television_Network>
iaTV	<http://dbpedia.org/resource/ImaginAsian>
Mehr News Agency	<http://dbpedia.org/resource/Mehr_News_Agency>
Radio Zamaneh	<http://dbpedia.org/resource/Radio_Zamaneh>
Canal A	<http://dbpedia.org/resource/Canal_A>
Victory Sports One	<http://dbpedia.org/resource/Victory_Sports_One>
Animation Fixation	<http://dbpedia.org/resource/Animation_Fixation>
NBC Kids	<http://dbpedia.org/resource/NBC_Kids>
Fox Kids	<http://dbpedia.org/resource/Fox_Kids>
BBC Ukrainian Service	<http://dbpedia.org/resource/BBC_Ukrainian>
Fox Broadcasting Company	<http://dbpedia.org/resource/Fox_Broadcasting_Company>
National Broadcasting Company	<http://dbpedia.org/resource/NBC>
Canal Uno	<http://dbpedia.org/resource/Canal_Uno>
SEC Network	<http://dbpedia.org/resource/SEC_Network>
Super Hero Time	<http://dbpedia.org/resource/Super_Hero_Time>
Österreich 2	<http://dbpedia.org/resource/%C3%962>
Al-Baghdadia TV	<http://dbpedia.org/resource/Al-Baghdadia_TV>
Channel Africa	<http://dbpedia.org/resource/Channel_Africa>
Jefferson Public Radio	<http://dbpedia.org/resource/Jefferson_Public_Radio>
Kids WB	<http://dbpedia.org/resource/Kids'_WB>
Mutual Broadcasting System	<http://dbpedia.org/resource/Mutual_Broadcasting_System>
