Žemaitėjė	<http://dbpedia.org/resource/Samogitia>
Argentina	<http://dbpedia.org/resource/Argentina>
Central African Republic	<http://dbpedia.org/resource/Central_African_Republic>
Costa Rica	<http://dbpedia.org/resource/Costa_Rica>
Dominican Republic	<http://dbpedia.org/resource/Dominican_Republic>
Dominican Republic	<http://dbpedia.org/resource/Dominican_Republic>
Guatemala	<http://dbpedia.org/resource/Guatemala>
República de Guatemala	<http://dbpedia.org/resource/Guatemala>
Guinea-Bissau	<http://dbpedia.org/resource/Guinea-Bissau>
Hong Kong	<http://dbpedia.org/resource/Hong_Kong>
Indonesia	<http://dbpedia.org/resource/Indonesia>
Republik Indonesia	<http://dbpedia.org/resource/Indonesia>
Kyrgyzstan	<http://dbpedia.org/resource/Kyrgyzstan>
Lithuania	<http://dbpedia.org/resource/Lithuania>
Luxembourg	<http://dbpedia.org/resource/Luxembourg>
Madagascar	<http://dbpedia.org/resource/Madagascar>
Montenegro	<http://dbpedia.org/resource/Montenegro>
Crna Gora	<http://dbpedia.org/resource/Montenegro>
Mozambique	<http://dbpedia.org/resource/Mozambique>
Nicaragua	<http://dbpedia.org/resource/Nicaragua>
República de Nicaragua	<http://dbpedia.org/resource/Nicaragua>
Palestine	<http://dbpedia.org/resource/Palestinian_territories>
Papua New Guinea	<http://dbpedia.org/resource/Papua_New_Guinea>
Republika Srpska	<http://dbpedia.org/resource/Republika_Srpska>
South Africa	<http://dbpedia.org/resource/South_Africa>
Sri Lanka	<http://dbpedia.org/resource/Sri_Lanka>
Swaziland	<http://dbpedia.org/resource/Swaziland>
Umbuso waseSwatini	<http://dbpedia.org/resource/Swaziland>
Switzerland	<http://dbpedia.org/resource/Switzerland>
Tajikistan	<http://dbpedia.org/resource/Tajikistan>
Çumhuriyi Toçikiston	<http://dbpedia.org/resource/Tajikistan>
Gambia	<http://dbpedia.org/resource/The_Gambia>
Transnistria	<http://dbpedia.org/resource/Transnistria>
United Kingdom	<http://dbpedia.org/resource/United_Kingdom>
Venezuela	<http://dbpedia.org/resource/Venezuela>
Ivory Coast	<http://dbpedia.org/resource/Ivory_Coast>
Cascadia	<http://dbpedia.org/resource/Cascadia_(independence_movement)>
Kosovo and Metohija	<http://dbpedia.org/resource/Autonomous_Province_of_Kosovo_and_Metohija>
Slobodni teritorij Trsta	<http://dbpedia.org/resource/Free_Territory_of_Trieste>
Svobodno tržaško ozemlje	<http://dbpedia.org/resource/Free_Territory_of_Trieste>
Trieste	<http://dbpedia.org/resource/Free_Territory_of_Trieste>
Norden	<http://dbpedia.org/resource/Nordic_countries>
Ireland	<http://dbpedia.org/resource/Republic_of_Ireland>
Belgium	<http://dbpedia.org/resource/Belgium>
Belize	<http://dbpedia.org/resource/Belize>
Botswana	<http://dbpedia.org/resource/Botswana>
Brazil	<http://dbpedia.org/resource/Brazil>
Bulgaria	<http://dbpedia.org/resource/Bulgaria>
Canada	<http://dbpedia.org/resource/Canada>
Chile	<http://dbpedia.org/resource/Chile>
Cyprus	<http://dbpedia.org/resource/Cyprus>
England	<http://dbpedia.org/resource/England>
