24-7 Spyz	<http://dbpedia.org/resource/24-7_Spyz>
311	<http://dbpedia.org/resource/311_(band)>
38 Special	<http://dbpedia.org/resource/38_Special_(band)>
3 Doors Down	<http://dbpedia.org/resource/3_Doors_Down>
999	<http://dbpedia.org/resource/999_(band)>
a1	<http://dbpedia.org/resource/A1_(band)>
Aaron Tippin	<http://dbpedia.org/resource/Aaron_Tippin>
Aca Lukas	<http://dbpedia.org/resource/Aca_Lukas>
Adolescents	<http://dbpedia.org/resource/Adolescents_(band)>
Ai Otsuka	<http://dbpedia.org/resource/Ai_Otsuka>
Akiko Yano	<http://dbpedia.org/resource/Akiko_Yano>
Al Anderson	<http://dbpedia.org/resource/Al_Anderson_(The_Wailers)>
Al Stewart	<http://dbpedia.org/resource/Al_Stewart>
Alabama	<http://dbpedia.org/resource/Alabama_(band)>
Alan Price	<http://dbpedia.org/resource/Alan_Price>
Alexander Klaws	<http://dbpedia.org/resource/Alexander_Klaws>
Alexandra Burke	<http://dbpedia.org/resource/Alexandra_Burke>
Alta Moda	<http://dbpedia.org/resource/Alta_Moda>
Alva Noto	<http://dbpedia.org/resource/Alva_Noto>
Amon Tobin	<http://dbpedia.org/resource/Amon_Tobin>
Amy Grant	<http://dbpedia.org/resource/Amy_Grant>
Anal Cunt	<http://dbpedia.org/resource/Anal_Cunt>
Analog Brothers	<http://dbpedia.org/resource/Analog_Brothers>
Anat Cohen	<http://dbpedia.org/resource/Anat_Cohen>
Andreas Vollenweider	<http://dbpedia.org/resource/Andreas_Vollenweider>
Anna Vissi	<http://dbpedia.org/resource/Anna_Vissi>
Apollo 440	<http://dbpedia.org/resource/Apollo_440>
Apparat	<http://dbpedia.org/resource/Apparat_(musician)>
Ari Hoenig	<http://dbpedia.org/resource/Ari_Hoenig>
Armand John Piron	<http://dbpedia.org/resource/Armand_J._Piron>
Armand J Piron	<http://dbpedia.org/resource/Armand_J._Piron>
Armin van Buuren	<http://dbpedia.org/resource/Armin_van_Buuren>
Art Farmer	<http://dbpedia.org/resource/Art_Farmer>
Asta Kask	<http://dbpedia.org/resource/Asta_Kask>
Avantasia	<http://dbpedia.org/resource/Avantasia>
Azure Ray	<http://dbpedia.org/resource/Azure_Ray>
B J Cole	<http://dbpedia.org/resource/B._J._Cole>
BT	<http://dbpedia.org/resource/BT_(musician)>
Baby Bash	<http://dbpedia.org/resource/Baby_Bash>
Bad Brains	<http://dbpedia.org/resource/Bad_Brains>
Bahamadia	<http://dbpedia.org/resource/Bahamadia>
Bajofondo	<http://dbpedia.org/resource/Bajofondo>
Baltimora	<http://dbpedia.org/resource/Baltimora>
Barbara Mandrell	<http://dbpedia.org/resource/Barbara_Mandrell>
Barney Bigard	<http://dbpedia.org/resource/Barney_Bigard>
Barry Manilow	<http://dbpedia.org/resource/Barry_Manilow>
Barry Ryan	<http://dbpedia.org/resource/Barry_Ryan_(singer)>
Beatallica	<http://dbpedia.org/resource/Beatallica>
Beatriz Luengo	<http://dbpedia.org/resource/Beatriz_Luengo>
Belvedere	<http://dbpedia.org/resource/Belvedere_(band)>
Ben Folds Five	<http://dbpedia.org/resource/Ben_Folds_Five>
Benny Greb	<http://dbpedia.org/resource/Benny_Greb>
Bernd Friedmann	<http://dbpedia.org/resource/Bernd_Friedmann>
Beth Orton	<http://dbpedia.org/resource/Beth_Orton>
Big Black	<http://dbpedia.org/resource/Big_Black>
Big Joe Williams	<http://dbpedia.org/resource/Big_Joe_Williams>
Bill Evans	<http://dbpedia.org/resource/Bill_Evans>
Bill Payne	<http://dbpedia.org/resource/Bill_Payne>
Bill Tapia	<http://dbpedia.org/resource/Bill_Tapia>
Bill Tappy Tapia	<http://dbpedia.org/resource/Bill_Tapia>
Billy Bass Nelson	<http://dbpedia.org/resource/Billy_Bass_Nelson>
Billy Nelson	<http://dbpedia.org/resource/Billy_Bass_Nelson>
Billy Butterfield	<http://dbpedia.org/resource/Billy_Butterfield>
Billy Joel	<http://dbpedia.org/resource/Billy_Joel>
Binary Finary	<http://dbpedia.org/resource/Binary_Finary>
Bingoboys	<http://dbpedia.org/resource/Bingoboys>
bloodbound	<http://dbpedia.org/resource/Bloodbound>
Blue Meanies	<http://dbpedia.org/resource/Blue_Meanies_(Illinois_band)>
Blues Traveler	<http://dbpedia.org/resource/Blues_Traveler>
Bob Seger	<http://dbpedia.org/resource/Bob_Seger>
Bob Wilber	<http://dbpedia.org/resource/Bob_Wilber>
Bob Wills	<http://dbpedia.org/resource/Bob_Wills>
Bobby Byrd	<http://dbpedia.org/resource/Bobby_Byrd>
Body Count	<http://dbpedia.org/resource/Body_Count>
Bon Scott	<http://dbpedia.org/resource/Bon_Scott>
Ronald Belford Scott	<http://dbpedia.org/resource/Bon_Scott>
Bone Thugs-n-Harmony	<http://dbpedia.org/resource/Bone_Thugs-n-Harmony>
Boris Dlugosch	<http://dbpedia.org/resource/Boris_Dlugosch>
Brand New	<http://dbpedia.org/resource/Brand_New>
Bruno Mars	<http://dbpedia.org/resource/Bruno_Mars>
Buck Owens	<http://dbpedia.org/resource/Buck_Owens>
Buckethead	<http://dbpedia.org/resource/Buckethead>
Bucks Fizz	<http://dbpedia.org/resource/Bucks_Fizz_(band)>
OBF	<http://dbpedia.org/resource/Bucks_Fizz_(band)>
Buddy Moss	<http://dbpedia.org/resource/Buddy_Moss>
Eugene Buddy Moss	<http://dbpedia.org/resource/Buddy_Moss>
Burke Shelley	<http://dbpedia.org/resource/Burke_Shelley>
CKY	<http://dbpedia.org/resource/CKY_(band)>
Cake	<http://dbpedia.org/resource/Cake_(band)>
Camane	<http://dbpedia.org/resource/Caman%C3%A9>
Candlemass	<http://dbpedia.org/resource/Candlemass>
Canned Heat	<http://dbpedia.org/resource/Canned_Heat>
Cara Dillon	<http://dbpedia.org/resource/Cara_Dillon>
Carl Carlton	<http://dbpedia.org/resource/Carl_Carlton_(musician)>
Carl Crack	<http://dbpedia.org/resource/Carl_Crack>
Carl Craig	<http://dbpedia.org/resource/Carl_Craig>
Carl Johan Grimmark	<http://dbpedia.org/resource/Carl_Johan_Grimmark>
Carole King	<http://dbpedia.org/resource/Carole_King>
Carrie Underwood	<http://dbpedia.org/resource/Carrie_Underwood>
Carrie Marie Underwood	<http://dbpedia.org/resource/Carrie_Underwood>
Cat Power	<http://dbpedia.org/resource/Cat_Power>
Yusuf Islam	<http://dbpedia.org/resource/Cat_Stevens>
Cat Stevens	<http://dbpedia.org/resource/Cat_Stevens>
Cevin Key	<http://dbpedia.org/resource/Cevin_Key>
cEvin Key	<http://dbpedia.org/resource/Cevin_Key>
Chad Smith	<http://dbpedia.org/resource/Chad_Smith>
Chris Reifert	<http://dbpedia.org/resource/Chris_Reifert>
Christopher Franke	<http://dbpedia.org/resource/Christopher_Franke>
Burgi	<http://dbpedia.org/resource/Chuck_Burgi>
Chuck Burgi	<http://dbpedia.org/resource/Chuck_Burgi>
OBE	<http://dbpedia.org/resource/Cilla_Black>
Cilla Black	<http://dbpedia.org/resource/Cilla_Black>
Clara Nunes	<http://dbpedia.org/resource/Clara_Nunes>
Clark Terry	<http://dbpedia.org/resource/Clark_Terry>
Clay Aiken	<http://dbpedia.org/resource/Clay_Aiken>
Clay Walker	<http://dbpedia.org/resource/Clay_Walker>
Coal Chamber	<http://dbpedia.org/resource/Coal_Chamber>
Coil	<http://dbpedia.org/resource/Coil_(band)>
Collin Raye	<http://dbpedia.org/resource/Collin_Raye>
Constantinos Christoforou	<http://dbpedia.org/resource/Constantinos_Christoforou>
Corvus Corax	<http://dbpedia.org/resource/Corvus_Corax_(band)>
Coverdale and Page	<http://dbpedia.org/resource/Coverdale_and_Page>
Cozy Cole	<http://dbpedia.org/resource/Cozy_Cole>
Craig Frost	<http://dbpedia.org/resource/Craig_Frost>
Crystal Castles	<http://dbpedia.org/resource/Crystal_Castles_(band)>
Cyantific	<http://dbpedia.org/resource/Cyantific>
Czeslaw Niemen	<http://dbpedia.org/resource/Czes%C5%82aw_Niemen>
DOA	<http://dbpedia.org/resource/D.O.A._(band)>
D J Fontana	<http://dbpedia.org/resource/D._J._Fontana>
Dominic Joseph Fontana	<http://dbpedia.org/resource/D._J._Fontana>
DJ Kool Herc	<http://dbpedia.org/resource/DJ_Kool_Herc>
Da Weasel	<http://dbpedia.org/resource/Da_Weasel>
Damageplan	<http://dbpedia.org/resource/Damageplan>
Dave Carpenter	<http://dbpedia.org/resource/Dave_Carpenter>
Dave Spitz	<http://dbpedia.org/resource/Dave_Spitz>
Dave Swarbrick	<http://dbpedia.org/resource/Dave_Swarbrick>
De La Soul	<http://dbpedia.org/resource/De_La_Soul>
Demilich	<http://dbpedia.org/resource/Demilich_(band)>
Deuteronomium	<http://dbpedia.org/resource/Deuteronomium_(band)>
Devourment	<http://dbpedia.org/resource/Devourment>
Didier Malherbe	<http://dbpedia.org/resource/Didier_Malherbe>
Dido	<http://dbpedia.org/resource/Dido_(singer)>
Emanuela Trane	<http://dbpedia.org/resource/Dolcenera>
Dolcenera	<http://dbpedia.org/resource/Dolcenera>
Don Henley	<http://dbpedia.org/resource/Don_Henley>
Doro Pesch	<http://dbpedia.org/resource/Doro_(musician)>
Doug Stone	<http://dbpedia.org/resource/Doug_Stone>
Dragonland	<http://dbpedia.org/resource/Dragonland>
Drake Bell	<http://dbpedia.org/resource/Drake_Bell>
ES Posthumus	<http://dbpedia.org/resource/E.S._Posthumus>
Echo & Bunnymen	<http://dbpedia.org/resource/Echo_&_the_Bunnymen>
Ed Starink	<http://dbpedia.org/resource/Ed_Starink>
Eddie Cochran	<http://dbpedia.org/resource/Eddie_Cochran>
Marc Cochran	<http://dbpedia.org/resource/Eddie_Cochran>
Elliott Smith	<http://dbpedia.org/resource/Elliott_Smith>
Steven Paul Smith	<http://dbpedia.org/resource/Elliott_Smith>
Ellis Larkins	<http://dbpedia.org/resource/Ellis_Larkins>
Elton Dean	<http://dbpedia.org/resource/Elton_Dean>
Embrace	<http://dbpedia.org/resource/Embrace_(American_band)>
Embrace	<http://dbpedia.org/resource/Embrace_(English_band)>
Emmett Chapman	<http://dbpedia.org/resource/Emmett_Chapman>
Emmett Hardy	<http://dbpedia.org/resource/Emmett_Hardy>
Erik Brann	<http://dbpedia.org/resource/Erik_Brann>
Erik Keith Brann	<http://dbpedia.org/resource/Erik_Brann>
Etta James	<http://dbpedia.org/resource/Etta_James>
Face to Face	<http://dbpedia.org/resource/Face_to_Face_(punk_band)>
Feeling B	<http://dbpedia.org/resource/Feeling_B>
Fiddler’s Green	<http://dbpedia.org/resource/Fiddler's_Green_(band)>
Finntroll	<http://dbpedia.org/resource/Finntroll>
Five Iron Frenzy	<http://dbpedia.org/resource/Five_Iron_Frenzy>
Flea	<http://dbpedia.org/resource/Flea_(musician)>
Four Tops	<http://dbpedia.org/resource/Four_Tops>
Foxy Brown	<http://dbpedia.org/resource/Foxy_Brown_(rapper)>
Frank Infante	<http://dbpedia.org/resource/Frank_Infante>
Frankie Laine	<http://dbpedia.org/resource/Frankie_Laine>
Frankie Valli	<http://dbpedia.org/resource/Frankie_Valli>
Fred Frith	<http://dbpedia.org/resource/Fred_Frith>
Fridge	<http://dbpedia.org/resource/Fridge_(band)>
Game	<http://dbpedia.org/resource/Game_(rapper)>
Jayceon Terrell Taylor	<http://dbpedia.org/resource/Game_(rapper)>
Gary Allan	<http://dbpedia.org/resource/Gary_Allan>
Geddy Lee	<http://dbpedia.org/resource/Geddy_Lee>
Gene Autry	<http://dbpedia.org/resource/Gene_Autry>
George Wein	<http://dbpedia.org/resource/George_Wein>
Giant Sand	<http://dbpedia.org/resource/Giant_Sand>
Gilda	<http://dbpedia.org/resource/Gilda_(singer)>
Glenn Miller Orchestra	<http://dbpedia.org/resource/Glenn_Miller_Orchestra>
Goldfrapp	<http://dbpedia.org/resource/Goldfrapp>
Goldy McJohn	<http://dbpedia.org/resource/Goldy_McJohn>
Goo Goo Dolls	<http://dbpedia.org/resource/Goo_Goo_Dolls>
Gordon Haskell	<http://dbpedia.org/resource/Gordon_Haskell>
Gota Yashiki	<http://dbpedia.org/resource/Gota_Yashiki>
Grace Jones	<http://dbpedia.org/resource/Grace_Jones>
Greg Errico	<http://dbpedia.org/resource/Greg_Errico>
Greg Ginn	<http://dbpedia.org/resource/Greg_Ginn>
Grover Mitchell	<http://dbpedia.org/resource/Grover_Mitchell>
Washington, Grover, Jr	<http://dbpedia.org/resource/Grover_Washington,_Jr.>
Guided by Voices	<http://dbpedia.org/resource/Guided_by_Voices>
Guitar Wolf	<http://dbpedia.org/resource/Guitar_Wolf>
Guy Barker	<http://dbpedia.org/resource/Guy_Barker>
Guy Gerber	<http://dbpedia.org/resource/Guy_Gerber>
Guy Sebastian	<http://dbpedia.org/resource/Guy_Sebastian>
Gwen Stefani	<http://dbpedia.org/resource/Gwen_Stefani>
Hajime Mizoguchi	<http://dbpedia.org/resource/Hajime_Mizoguchi>
Mizoguchi Hajime	<http://dbpedia.org/resource/Hajime_Mizoguchi>
Half Japanese	<http://dbpedia.org/resource/Half_Japanese>
Hank Snow	<http://dbpedia.org/resource/Hank_Snow>
Hawthorne Heights	<http://dbpedia.org/resource/Hawthorne_Heights>
Hayley Westenra	<http://dbpedia.org/resource/Hayley_Westenra>
Hayley Dee Westenra	<http://dbpedia.org/resource/Hayley_Westenra>
Hillel Slovak	<http://dbpedia.org/resource/Hillel_Slovak>
Horst Fascher	<http://dbpedia.org/resource/Horst_Fascher>
Howie Day	<http://dbpedia.org/resource/Howie_Day>
Zach Howie Day	<http://dbpedia.org/resource/Howie_Day>
Hurriganes	<http://dbpedia.org/resource/Hurriganes>
Ian Gillan	<http://dbpedia.org/resource/Ian_Gillan>
Ian Hunter	<http://dbpedia.org/resource/Ian_Hunter_(singer)>
Iced Earth	<http://dbpedia.org/resource/Iced_Earth>
Ike Turner	<http://dbpedia.org/resource/Ike_Turner>
Ike Willis	<http://dbpedia.org/resource/Ike_Willis>
Imants Kalniņš	<http://dbpedia.org/resource/Imants_Kalni%C5%86%C5%A1>
Imants Kalnins	<http://dbpedia.org/resource/Imants_Kalni%C5%86%C5%A1>
Insane Clown Posse	<http://dbpedia.org/resource/Insane_Clown_Posse>
Invasionen	<http://dbpedia.org/resource/Invasionen>
Ismael Lo	<http://dbpedia.org/resource/Isma%C3%ABl_L%C3%B4>
Ivy Queen	<http://dbpedia.org/resource/Ivy_Queen>
Jon Thor Birgisson	<http://dbpedia.org/resource/J%C3%B3nsi>
Jón Þór Birgisson	<http://dbpedia.org/resource/J%C3%B3nsi>
J Peter Robinson	<http://dbpedia.org/resource/J._Peter_Robinson>
JD Samson	<http://dbpedia.org/resource/JD_Samson>
Jack Starr	<http://dbpedia.org/resource/Jack_Starr>
Jaki Byard	<http://dbpedia.org/resource/Jaki_Byard>
Jakob Sveistrup	<http://dbpedia.org/resource/Jakob_Sveistrup>
Jakob Sveistrup Hansen	<http://dbpedia.org/resource/Jakob_Sveistrup>
Janet Jackson	<http://dbpedia.org/resource/Janet_Jackson>
Jeanette Biedermann	<http://dbpedia.org/resource/Jeanette_Biedermann>
Jeanette Schmid	<http://dbpedia.org/resource/Jeanette_Schmid>
Jeff Rich	<http://dbpedia.org/resource/Jeff_Rich>
Jeff Wayne	<http://dbpedia.org/resource/Jeff_Wayne>
Jefferson Airplane	<http://dbpedia.org/resource/Jefferson_Airplane>
Jelly Roll Morton	<http://dbpedia.org/resource/Jelly_Roll_Morton>
Jellyroll Morton	<http://dbpedia.org/resource/Jelly_Roll_Morton>
Jenny Wilson	<http://dbpedia.org/resource/Jenny_Wilson_(singer)>
Jerome Froese	<http://dbpedia.org/resource/Jerome_Froese>
Jimmy Cobb	<http://dbpedia.org/resource/Jimmy_Cobb>
Jimmy Page	<http://dbpedia.org/resource/Jimmy_Page>
Joe Diffie	<http://dbpedia.org/resource/Joe_Diffie>
Joe Inoue	<http://dbpedia.org/resource/Joe_Inoue>
Joe Locke	<http://dbpedia.org/resource/Joe_Locke>
Joe McPhee	<http://dbpedia.org/resource/Joe_McPhee>
Joey DeFrancesco	<http://dbpedia.org/resource/Joey_DeFrancesco>
Joey Defrancesco	<http://dbpedia.org/resource/Joey_DeFrancesco>
John Evan	<http://dbpedia.org/resource/John_Evan>
John Hiatt	<http://dbpedia.org/resource/John_Hiatt>
John Hollenbeck	<http://dbpedia.org/resource/John_Hollenbeck_(musician)>
John Lees	<http://dbpedia.org/resource/John_Lees_(musician)>
John Clayton Mayer	<http://dbpedia.org/resource/John_Mayer>
John Mayer	<http://dbpedia.org/resource/John_Mayer>
John Oates	<http://dbpedia.org/resource/John_Oates>
John Prine	<http://dbpedia.org/resource/John_Prine>
John Rocca	<http://dbpedia.org/resource/John_Rocca>
Johnny Hodges	<http://dbpedia.org/resource/Johnny_Hodges>
Johnny Mathis	<http://dbpedia.org/resource/Johnny_Mathis>
Josh White	<http://dbpedia.org/resource/Josh_White>
Joss Stone	<http://dbpedia.org/resource/Joss_Stone>
Journey	<http://dbpedia.org/resource/Journey_(band)>
Jovanotti	<http://dbpedia.org/resource/Jovanotti>
Julie Driscoll	<http://dbpedia.org/resource/Julie_Driscoll>
Julie Tippetts	<http://dbpedia.org/resource/Julie_Driscoll>
Kanye West	<http://dbpedia.org/resource/Kanye_West>
Kanye Omari West	<http://dbpedia.org/resource/Kanye_West>
Kara	<http://dbpedia.org/resource/Kara_(band)>
Karl Bartos	<http://dbpedia.org/resource/Karl_Bartos>
Karl Logan	<http://dbpedia.org/resource/Karl_Logan>
Kat DeLuna	<http://dbpedia.org/resource/Kat_DeLuna>
Katarrama	<http://dbpedia.org/resource/Katarrama>
Kate Bush	<http://dbpedia.org/resource/Kate_Bush>
Kate Smith	<http://dbpedia.org/resource/Kate_Smith>
Keith Emerson	<http://dbpedia.org/resource/Keith_Emerson>
Keith Moon	<http://dbpedia.org/resource/Keith_Moon>
Keith Reid	<http://dbpedia.org/resource/Keith_Reid>
Keith Tippett	<http://dbpedia.org/resource/Keith_Tippett>
Keith Urban	<http://dbpedia.org/resource/Keith_Urban>
Keith West	<http://dbpedia.org/resource/Keith_West>
Kellie Dawn Pickler	<http://dbpedia.org/resource/Kellie_Pickler>
Kellie Pickler	<http://dbpedia.org/resource/Kellie_Pickler>
Kent	<http://dbpedia.org/resource/Kent_(band)>
Keri Hilson	<http://dbpedia.org/resource/Keri_Hilson>
Kevin Coyne	<http://dbpedia.org/resource/Kevin_Coyne>
Kevin Moore	<http://dbpedia.org/resource/Kevin_Moore>
Kike Santander	<http://dbpedia.org/resource/Kike_Santander>
Kingfish	<http://dbpedia.org/resource/Kingfish_(band)>
Koop	<http://dbpedia.org/resource/Koop_(band)>
Kula Shaker	<http://dbpedia.org/resource/Kula_Shaker>
Kurt Elling	<http://dbpedia.org/resource/Kurt_Elling>
Lääz Rockit	<http://dbpedia.org/resource/L%C3%A4%C3%A4z_Rockit>
La Fouine	<http://dbpedia.org/resource/La_Fouine>
Lambchop	<http://dbpedia.org/resource/Lambchop_(band)>
Lance Bass	<http://dbpedia.org/resource/Lance_Bass>
Laura Branigan	<http://dbpedia.org/resource/Laura_Branigan>
Laura Nyro	<http://dbpedia.org/resource/Laura_Nyro>
LeToya Luckett	<http://dbpedia.org/resource/LeToya_Luckett>
LeToya Nicole Luckett	<http://dbpedia.org/resource/LeToya_Luckett>
Lee Konitz	<http://dbpedia.org/resource/Lee_Konitz>
Lena Horne	<http://dbpedia.org/resource/Lena_Horne>
Levon Helm	<http://dbpedia.org/resource/Levon_Helm>
Mark Lavon Helm	<http://dbpedia.org/resource/Levon_Helm>
Lhasa de Sela	<http://dbpedia.org/resource/Lhasa_de_Sela>
Lhasa De Sela	<http://dbpedia.org/resource/Lhasa_de_Sela>
Liberty X	<http://dbpedia.org/resource/Liberty_X>
Lily Allen	<http://dbpedia.org/resource/Lily_Allen>
Lisa Batiashvili	<http://dbpedia.org/resource/Lisa_Batiashvili>
Lise Darly	<http://dbpedia.org/resource/Lise_Darly>
Iron Maiden	<http://dbpedia.org/resource/List_of_Iron_Maiden_band_members>
Little Walter	<http://dbpedia.org/resource/Little_Walter>
Marion Walter Jacobs	<http://dbpedia.org/resource/Little_Walter>
Lloyd	<http://dbpedia.org/resource/Lloyd_(singer)>
Lords of Acid	<http://dbpedia.org/resource/Lords_of_Acid>
Los Chicos	<http://dbpedia.org/resource/Los_Chicos>
Lost Dogs	<http://dbpedia.org/resource/Lost_Dogs>
Lys Assia	<http://dbpedia.org/resource/Lys_Assia>
Lyudmila Zykina	<http://dbpedia.org/resource/Lyudmila_Zykina>
MIA	<http://dbpedia.org/resource/M.I.A._(artist)>
Mia	<http://dbpedia.org/resource/M.I.A._(artist)>
MC Hammer	<http://dbpedia.org/resource/MC_Hammer>
Ma Rainey	<http://dbpedia.org/resource/Ma_Rainey>
Madredeus	<http://dbpedia.org/resource/Madredeus>
Magda Tagliaferro	<http://dbpedia.org/resource/Magda_Tagliaferro>
Maggotron	<http://dbpedia.org/resource/Maggotron>
Magma	<http://dbpedia.org/resource/Magma_(band)>
Magnum	<http://dbpedia.org/resource/Magnum_(band)>
Magnus Uggla	<http://dbpedia.org/resource/Magnus_Uggla>
Mahotella Queens	<http://dbpedia.org/resource/Mahotella_Queens>
Marcos Hernandez	<http://dbpedia.org/resource/Marcos_Hernandez_(singer)>
Maria Rita	<http://dbpedia.org/resource/Maria_Rita>
